brand,che_pc_usd,che_perc_gdp,cluster_nl,corporation,country,launch_date,date,drug_id,ind_launch_date,indication,insurance_perc_che,population,prev_perc,price_month,price_unit,public_perc_che,therapeutic_area,target,drug_in_other_countries,therapeutic_area_encoded,cluster_nl_encoded
BRAND_7114,1.9057428214731584,1.808254750699401,BRAND_7114_COUNTRY_4242,CORP_6095,COUNTRY_4242,2014-07-01,2018-12-01,DRUG_ID_5417,-1,"['IND_851C', 'IND_0AE9', 'IND_8F07', 'IND_176A', 'IND_632E']",-1.0,1.0106515121096502,0.0876324944985362,1.845845783347456,1.2296148785109635,2.0,THER_AREA_CD59,4.670706087358774,True,11,1111
BRAND_7114,1.689294631710362,1.7527913151756085,BRAND_7114_COUNTRY_89F9,CORP_6095,COUNTRY_89F9,2014-08-01,2016-07-01,DRUG_ID_5417,-1,"['IND_851C', 'IND_0AE9', 'IND_8F07', 'IND_176A']",-1.0,1.5031182106327248,0.0711749370219999,1.9895286090175264,1.2695502369929346,1.9402985074626864,THER_AREA_CD59,7.403388411822807,True,11,1116
BRAND_7114,1.608614232209738,1.6056451453223517,BRAND_7114_COUNTRY_89F9,CORP_6095,COUNTRY_89F9,2014-08-01,2018-10-01,DRUG_ID_5417,-1,"['IND_851C', 'IND_0AE9', 'IND_8F07', 'IND_176A', 'IND_632E']",-1.0,1.5100758342395102,0.0717248778941355,1.9895286090175264,1.228669056899032,1.9402985074626864,THER_AREA_CD59,12.10229225498935,True,11,1116
BRAND_7114,1.608614232209738,1.6056451453223517,BRAND_7114_COUNTRY_89F9,CORP_6095,COUNTRY_89F9,2014-08-01,2018-05-01,DRUG_ID_5417,-1,"['IND_851C', 'IND_0AE9', 'IND_8F07', 'IND_176A', 'IND_632E']",-1.0,1.5100758342395102,0.0717248778941355,1.9895286090175264,1.2238438659903024,1.9402985074626864,THER_AREA_CD59,11.161285832335482,True,11,1116
BRAND_7114,1.689294631710362,1.7527913151756085,BRAND_7114_COUNTRY_89F9,CORP_6095,COUNTRY_89F9,2014-08-01,2016-01-01,DRUG_ID_5417,-1,"['IND_851C', 'IND_0AE9']",-1.0,1.5031182106327248,0.0601195590040556,1.9895286090175264,1.2628278274678144,1.9402985074626864,THER_AREA_CD59,6.160142368750832,True,11,1116
BRAND_7114,1.7309612983770286,1.8319917508971155,BRAND_7114_COUNTRY_89F9,CORP_6095,COUNTRY_89F9,2014-08-01,2015-09-01,DRUG_ID_5417,2016-09-01 00:00:00,"['IND_851C', 'IND_0AE9']",-1.0,1.4993857440921563,0.0605380249306877,-1.0,1.2825758337796054,1.9402985074626864,THER_AREA_CD59,6.081694177305656,True,11,1116
BRAND_7114,1.6254681647940077,1.6456950169271845,BRAND_7114_COUNTRY_89F9,CORP_6095,COUNTRY_89F9,2014-08-01,2017-01-01,DRUG_ID_5417,-1,"['IND_851C', 'IND_0AE9', 'IND_8F07', 'IND_176A', 'IND_632E']",-1.0,1.5066849323464984,0.0710053398205165,1.9895286090175264,1.2497749049435078,1.955223880597015,THER_AREA_CD59,8.026981398654407,True,11,1116
BRAND_7114,1.689294631710362,1.7527913151756085,BRAND_7114_COUNTRY_89F9,CORP_6095,COUNTRY_89F9,2014-08-01,2016-08-01,DRUG_ID_5417,-1,"['IND_851C', 'IND_0AE9', 'IND_8F07', 'IND_176A']",-1.0,1.5031182106327248,0.0711749370219999,1.9895286090175264,1.2700725468483878,1.9402985074626864,THER_AREA_CD59,6.8434498487905335,True,11,1116
BRAND_7114,1.7309612983770286,1.8319917508971155,BRAND_7114_COUNTRY_89F9,CORP_6095,COUNTRY_89F9,2014-08-01,2015-03-01,DRUG_ID_5417,-1,"['IND_851C', 'IND_0AE9']",-1.0,1.4993857440921563,0.0605380249306877,-1.0,1.287911628252536,1.9402985074626864,THER_AREA_CD59,4.459950705149494,True,11,1116
BRAND_7114,1.608614232209738,1.6056451453223517,BRAND_7114_COUNTRY_89F9,CORP_6095,COUNTRY_89F9,2014-08-01,2018-04-01,DRUG_ID_5417,-1,"['IND_851C', 'IND_0AE9', 'IND_8F07', 'IND_176A', 'IND_632E']",-1.0,1.5100758342395102,0.0717248778941355,1.9895286090175264,1.218783755353595,1.9402985074626864,THER_AREA_CD59,9.226684389288016,True,11,1116
BRAND_7114,1.6551186017478152,1.6610191193764057,BRAND_7114_COUNTRY_89F9,CORP_6095,COUNTRY_89F9,2014-08-01,2019-04-01,DRUG_ID_5417,-1,"['IND_851C', 'IND_0AE9', 'IND_8F07', 'IND_176A', 'IND_632E']",-1.0,1.5131239048669896,0.0725093027195086,1.9895286090175264,1.2438795346123586,1.9402985074626864,THER_AREA_CD59,13.115767246697516,True,11,1116
BRAND_7114,1.6254681647940077,1.6456950169271845,BRAND_7114_COUNTRY_89F9,CORP_6095,COUNTRY_89F9,2014-08-01,2017-04-01,DRUG_ID_5417,-1,"['IND_851C', 'IND_0AE9', 'IND_8F07', 'IND_176A', 'IND_632E']",-1.0,1.5066849323464984,0.0710053398205165,1.9895286090175264,1.2478431293666687,1.955223880597015,THER_AREA_CD59,8.968575771536528,True,11,1116
BRAND_7114,1.689294631710362,1.7527913151756085,BRAND_7114_COUNTRY_89F9,CORP_6095,COUNTRY_89F9,2014-08-01,2016-04-01,DRUG_ID_5417,-1,"['IND_851C', 'IND_0AE9', 'IND_8F07', 'IND_176A']",-1.0,1.5031182106327248,0.0711749370219999,1.9895286090175264,1.2588997256858727,1.9402985074626864,THER_AREA_CD59,6.370574914692297,True,11,1116
BRAND_7114,1.608614232209738,1.6056451453223517,BRAND_7114_COUNTRY_89F9,CORP_6095,COUNTRY_89F9,2014-08-01,2018-09-01,DRUG_ID_5417,-1,"['IND_851C', 'IND_0AE9', 'IND_8F07', 'IND_176A', 'IND_632E']",-1.0,1.5100758342395102,0.0717248778941355,1.9895286090175264,1.2305432250840356,1.9402985074626864,THER_AREA_CD59,11.543552579173154,True,11,1116
BRAND_7114,1.6551186017478152,1.6610191193764057,BRAND_7114_COUNTRY_89F9,CORP_6095,COUNTRY_89F9,2014-08-01,2019-07-01,DRUG_ID_5417,-1,"['IND_851C', 'IND_0AE9', 'IND_8F07', 'IND_176A', 'IND_632E']",-1.0,1.5131239048669896,0.0725093027195086,1.9895286090175264,1.2281172208395337,1.9402985074626864,THER_AREA_CD59,13.290447208429155,True,11,1116
