brand,che_pc_usd,che_perc_gdp,cluster_nl,corporation,country,launch_date,date,drug_id,ind_launch_date,indication,insurance_perc_che,population,prev_perc,price_month,price_unit,public_perc_che,therapeutic_area,target,therapeutic_area_encoded
BRAND_626D,1.237983770287141,-1.0,BRAND_626D_COUNTRY_5180,CORP_01C7,COUNTRY_5180,2014-06-01,2014-06-01,DRUG_ID_E66E,-1,"['IND_1590', 'IND_ECAC', 'IND_D925']",1.933333333333333,1.050796256907114,5.102803430988887e-05,-1.0,2.139654277380302,1.985074626865672,THER_AREA_96D7,1.0027211899487622,9
BRAND_626D,1.237983770287141,-1.0,BRAND_626D_COUNTRY_5180,CORP_01C7,COUNTRY_5180,2014-06-01,2014-07-01,DRUG_ID_E66E,-1,"['IND_1590', 'IND_ECAC', 'IND_D925']",1.933333333333333,1.050796256907114,5.102803430988887e-05,-1.0,2.139654277380302,1.985074626865672,THER_AREA_96D7,1.0108847597950492,9
BRAND_626D,1.237983770287141,-1.0,BRAND_626D_COUNTRY_5180,CORP_01C7,COUNTRY_5180,2014-06-01,2014-08-01,DRUG_ID_E66E,-1,"['IND_1590', 'IND_ECAC', 'IND_D925']",1.933333333333333,1.050796256907114,5.102803430988887e-05,-1.0,1.9687061573113784,1.985074626865672,THER_AREA_96D7,1.0115650575393762,9
BRAND_626D,1.237983770287141,-1.0,BRAND_626D_COUNTRY_5180,CORP_01C7,COUNTRY_5180,2014-06-01,2014-09-01,DRUG_ID_E66E,-1,"['IND_1590', 'IND_ECAC', 'IND_D925']",1.933333333333333,1.050796256907114,5.102803430988887e-05,-1.0,2.139654316540523,1.985074626865672,THER_AREA_96D7,1.0149665452324654,9
BRAND_626D,1.237983770287141,-1.0,BRAND_626D_COUNTRY_5180,CORP_01C7,COUNTRY_5180,2014-06-01,2014-10-01,DRUG_ID_E66E,-1,"['IND_1590', 'IND_ECAC', 'IND_D925']",1.933333333333333,1.050796256907114,5.102803430988887e-05,-1.0,1.9117234219042416,1.985074626865672,THER_AREA_96D7,1.0108847597950492,9
BRAND_5F0D,1.237983770287141,-1.0,BRAND_5F0D_COUNTRY_5180,CORP_8F4F,COUNTRY_5180,2014-10-01,2014-10-01,DRUG_ID_2A56,-1,['IND_7C11'],1.933333333333333,1.050796256907114,0.0028349819359166,2.5200463809481337,1.6834567212604876,1.985074626865672,THER_AREA_96D7,1.009353823288111,9
BRAND_5F0D,1.237983770287141,-1.0,BRAND_5F0D_COUNTRY_5180,CORP_8F4F,COUNTRY_5180,2014-10-01,2014-11-01,DRUG_ID_2A56,-1,['IND_7C11'],1.933333333333333,1.050796256907114,0.0028349819359166,2.5200463809481337,1.6478061695166486,1.985074626865672,THER_AREA_96D7,1.026597724096259,9
BRAND_626D,1.237983770287141,-1.0,BRAND_626D_COUNTRY_5180,CORP_01C7,COUNTRY_5180,2014-06-01,2014-11-01,DRUG_ID_E66E,-1,"['IND_1590', 'IND_ECAC', 'IND_D925']",1.933333333333333,1.050796256907114,5.102803430988887e-05,-1.0,2.139654274189469,1.985074626865672,THER_AREA_96D7,1.0367360642054364,9
BRAND_626D,1.0040574282147317,1.1376013833194587,BRAND_626D_COUNTRY_7D31,CORP_01C7,COUNTRY_7D31,2014-12-01,2014-12-01,DRUG_ID_E66E,-1,"['IND_1590', 'IND_D925']",1.0266666666666666,11.651854998865549,4.676067381364904e-05,-1.0,1.0260493757247462,1.0895522388059702,THER_AREA_96D7,1.0096625230650735,9
BRAND_626D,1.237983770287141,-1.0,BRAND_626D_COUNTRY_5180,CORP_01C7,COUNTRY_5180,2014-06-01,2014-12-01,DRUG_ID_E66E,-1,"['IND_1590', 'IND_ECAC', 'IND_D925']",1.933333333333333,1.050796256907114,5.102803430988887e-05,-1.0,1.949711873885673,1.985074626865672,THER_AREA_96D7,1.0204089241014445,9
