population,price_unit,price_month,target,che_pc_usd,che_perc_gdp
1.6393518899600052,1.0087078248421355,1.0185888677615922,1.0363119286928242,1.791198501872659,2.059129956178802
1.0301150676071418,1.025722125363023,1.00367925790483,1.0308977805874977,2.442883895131086,1.892659326730248
1.0333534041231496,1.0170368400766026,1.018953752843063,1.0008788604410996,1.8122659176029965,1.953900740312444
1.4624559240745143,1.0041488144685191,1.0066449627614502,1.0286918178935782,1.4867353308364544,1.8091981663043544
1.4624559240745143,1.0034110476054932,1.0066449627614502,1.0442418499294588,1.4867353308364544,1.8091981663043544
1.0097251507703806,1.028225544829619,1.0030326004548902,1.0029417944087722,1.9837702871410736,1.996190719709857
1.0011439961103403,1.022835232792299,-1.0,1.0003846451102285,1.8269350811485645,1.8822723180381693
1.0301150676071418,1.0254169664799158,1.00367925790483,1.0544798972359033,2.442883895131086,1.892659326730248
1.0097251507703806,1.0286460304389933,-1.0,1.0082632292504778,1.9837702871410736,1.996190719709857
1.6393518899600052,1.021682444010332,1.0185888677615922,1.0753965714073213,1.791198501872659,2.059129956178802
1.0333534041231496,1.0195640154842731,1.018953752843063,1.0018948752143324,1.8122659176029965,1.953900740312444
1.0301150676071418,1.025939692143855,1.00367925790483,1.0590139078579317,2.442883895131086,1.892659326730248
1.0097251507703806,1.0301341171825953,-1.0,1.0152277065849455,1.9837702871410736,1.996190719709857
1.3489641387088414,1.0190588387225918,-1.0,1.0032304059456634,1.405586766541823,1.8464681356830712
1.0081810937862148,1.0060483673283025,-1.0,1.0058963592395305,1.7587390761548063,1.9062044704101224
1.0011439961103403,1.0231553371327546,-1.0,1.000877583398901,1.8269350811485645,1.8822723180381693
1.4624559240745143,1.0019690361321305,1.0066449627614502,1.0413843403057963,1.4867353308364544,1.8091981663043544
1.0333534041231496,1.011122597729453,1.006020603844267,1.0029742312806174,1.8122659176029965,1.953900740312444
2.020151337337066,1.0193010350576144,1.006020603844267,1.081888032311415,1.6754057428214733,2.0475821301161865
1.0333534041231496,1.021837518105889,1.018953752843063,1.001839196174472,1.8122659176029965,1.953900740312444
1.6393518899600052,1.0185982988616884,1.0185888677615922,1.1060637181737458,1.791198501872659,2.059129956178802
